asset_id,original_file_name,new_file_name,file_path,file_type,media_format,source_folder,source_drive_link,import_date,status,media_category,product_type,texture,length_visible_estimate,color_tone,density_visible_estimate,closure_or_frontal_visible,wig_visible,bundle_count_visible,install_state,visual_quality_score,lighting_quality_score,clarity_score,luxury_score,usable_for_website,usable_for_instagram,usable_for_ads,usable_for_product_page,usable_for_blog,needs_manual_review,review_notes,candidate_sku,candidate_collection,campaign_angle,caption_angle,customer_persona_fit,funnel_stage_fit,priority_rank,suggested_alt_text,suggested_title,suggested_short_description,suggested_tags,markdown_reference_path
AST-0103,IMG_4178.HEIC,IMG_4178.HEIC,assets/raw/IMG_4178.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0104,IMG_4179.MOV,raw-bone-straight-18in-closure-30usd-3.mov,assets/processed/raw-bone-straight-18in-closure-30usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,closure,bone_straight,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 30USD,,,,,,,5,,,,,
AST-0105,IMG_4182.HEIC,IMG_4182.HEIC,assets/raw/IMG_4182.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0106,IMG_4195.MOV,raw-bone-straight-18in-highlight-bundles-60usd-4.mov,assets/processed/raw-bone-straight-18in-highlight-bundles-60usd-4.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,18,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 60USD,,,,,,,5,,,,,
AST-0107,IMG_4207.HEIC,raw-bone-straight-24in-5x5-brown-wig-262usd.jpg,assets/processed/raw-bone-straight-24in-5x5-brown-wig-262usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
AST-0108,IMG_4210.MOV,virgin-straight-22in-13x4-burgundy-wig-233usd-3.mov,assets/processed/virgin-straight-22in-13x4-burgundy-wig-233usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 233USD,,,,,,,5,,,,,
AST-0109,IMG_4212.HEIC,virgin-straight-22in-13x4-burgundy-wig-233usd.jpg,assets/processed/virgin-straight-22in-13x4-burgundy-wig-233usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 233USD,,,,,,,5,,,,,
AST-0110,IMG_4213.MOV,virgin-straight-22in-13x4-burgundy-wig-233usd-4.mov,assets/processed/virgin-straight-22in-13x4-burgundy-wig-233usd-4.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 233USD,,,,,,,5,,,,,
AST-0111,IMG_4214.HEIC,virgin-straight-22in-13x4-burgundy-wig-233usd-2.jpg,assets/processed/virgin-straight-22in-13x4-burgundy-wig-233usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,virgin_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 233USD,,,,,,,5,,,,,
AST-0112,IMG_4218.HEIC,raw-bone-straight-24in-5x5-brown-wig-262usd-8.jpg,assets/processed/raw-bone-straight-24in-5x5-brown-wig-262usd-8.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
